Purchase Date	,Weight,Quantity,Purchase Price,Total Purchase Cost	
2025-03-20,25,1,"Rp42,118,275","Rp42,118,275"
2025-03-25,25,1,"Rp41,963,500","Rp41,963,500"
2025-03-25,100,1,"Rp167,705,375","Rp167,705,375"
2025-04-14,50,1,"Rp93,862,325","Rp93,862,325"
2025-04-14,50,1,"Rp93,862,325","Rp93,862,325"
2025-04-19,0.5,1,Rp0,Rp0
2025-04-19,50,1,"Rp96,541,675","Rp96,541,675"
2025-04-19,50,1,"Rp96,541,675","Rp96,541,675"
2025-04-19,50,2,"Rp96,541,675","Rp193,083,350"
2025-04-19,50,2,"Rp96,541,675","Rp193,083,350"
2025-04-21,50,1,"Rp96,542,000","Rp96,542,000"
2025-04-25,10,2,"Rp19,573,400","Rp39,146,800"
2025-10-17,100,2,"Rp235,618,000","Rp471,236,000"
2025-10-17,10,1,"Rp23,650,000","Rp23,650,000"
2025-10-17,50,1,"Rp122,078,525","Rp122,078,525"
2025-10-17,10,1,"Rp24,495,450","Rp24,495,450"
2025-10-17,0.5,1,Rp0,Rp0
2026-01-08,10,1,"Rp25,232,000","Rp25,232,000"
